address,tokens
0x57179B08BD29B441DA18ba84C526c3f0Be23DaCC,71667.893162247502661749
0xa7F795E152167447F1AB7238a18FcCA4d3aE9Ef5,69430.501735427337505506
0x87E6888935180a9b27A9b48B75C9b779bfEC1f76,69350.433154533464083359
0xed413906955b805DD768CC6525B52E8316019f0b,67496.817946209874712116
0xE582794320FA7424A1f9db360A46446244065Cb5,67364.354623367216763093
0x97958B23C63E5654D854E80Bc4e9eFcEfE091093,65185.656735398844912882
0x000f7f22bfC28D940d4B68e13213aB17cf107790,63845.608752149324396461
0x6165fD87C1BC73a4c44b23934e9136fd92df5b01,63429.983114056150188674
0x4bD120e887Cc82285AFF8408DC208eD32B132Bb3,63009.252363905026725973
0xD750CE47cAF4BC35614F3226983D626cF426Ae8b,62881.475799237123424834
0xF88DE87Eaa207cF496760Aef7cd61CF1D2D12052,62706.87322414671516853
0x316F99537B4Bade5EEA51073f1B7c38Dfbf69A70,62308.246679939783977655
0x44e59F7c598644A68975eF41Fed052362C4c8ed3,62119.427658644319100469
0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,62084.935864005272253317
0x0Dd6a8de365b2800F828E95feEf637027ceBfDc6,60784.731608423890437021
0x5Caa152df0BF46ce43155c8a097c577c1C3e6d52,60420.312139896523104694
0x0Af9aEDdba36B1a9F9Cb983eC5083d06f948041c,59901.056222049264784868
0x78d58Cc37cDAaBFde72c9a45B57Acbc3aBc3D7C9,59812.355040651442894284
0x0db90b2604F9BB2a99F731a1b174be4F888bb0F5,59749.451717481213134819
0xCe2fF74805De823Bb880f093F0b4e86C660a99ba,59516.975870500496953769
0x4E60bE84870FE6AE350B563A121042396Abe1eaF,58424.486606759385633721
0x6f6456e4Ed4f997896CA7C8D53d945D654ba45F9,58071.01497995619494399
0x73d38D824fb2a24d1D888DA0E582A850CB34343b,57911.244944984364353985
0x83c418D2eD6670785330B996b47a18492b61e218,56951.405818158455339487
0x2A53bC51e4EA1aAE0D8d1C2d10443d5a324F8EB9,56826.841471459299904915
0x3c32e3838eb55d56F22876F1A3C32eCb71682123,56399.012426433469495166
0x0f9AA4F9f9FE95bf438ac95380803e3c468d8c51,56246.122240457423909774
0x016078A5e18D9a2A4698e8623744556F09a9Ca15,55161.992357673346629056
0x6343249aF8ECFD6b3Fd903b338504166a22005F9,53994.68180818041816979
0x58aCd65FAA79d51d84b3c56E137F7d8baD823C67,53459.560785631767234891
0x6eF3f0fF397C3de367C6cA2Cc3e6B6955E7993A5,53290.369293645365545334
0x75749aaa3944483fe5b4d1e7083F31D3fAe76145,52398.474968143078089395
0x83549Fb310195Ea27e099AD484693C7f04126391,52181.429663494524604763
0x024BCbCAad82E67F721799E259ca60bc7d363419,51586.759415732407582458
0x78F87cc02fA8a0Ac98FBf66CebFB27260ecEe60B,51577.836011113462456996
0x2A1049062c6Cfd69bd38fbaf3b0559DF1DBbc92c,50865.849482075363654498
0x0554A200988cf265B3aA35436A903d51FAC47112,50586.810945710212903625
0x88b7a44CECD526cd2D424B0A4Cc2bbB26341Dd8f,50199.938545277238873696
0x854F1269b659A727a2268AB86FF77CFB30BfB358,49490.951500566574816966
0x166603c90030f0838F682496cED62793D9437521,49167.502207591055764663
0xAbB1274dc649d3ecc6dCD75e17F2fC1593838100,49141.975333497594575869
0x25125E438b7Ae0f9AE8511D83aBB0F4574217C7a,48487.113264456061920159
0x5921c191fe58175B1fb8943ED3F17345e615fF02,48317.078414856860849119
0x9b3f49A186670194f625199B822FCbDFD3Feacf7,47581.81134585550087065
0xc05658125B35e70Ac979D48552207890f0372044,47458.97048911924709347
0x431e81E5dfB5A24541b5Ff8762bDEF3f32F96354,47232.281155351820050256
0xC4cD8ffBC36F46d799486727F2fEE67c59C9F7F7,46342.390109812495369706
0x7d9A8c475B55E70f2D9837C853ee145cCCa9D249,46227.80495926781700212
0x7904aDB48351aF7b835Cb061316795d5226b7f1a,45983.125860563796744294
0x461C02ABE15d2c1597a30F9ced79402c385D81Be,44575.554446000918615204
0x9E1e303635910c2d398647313170b11FC41cb0dC,44493.742152580811280545
0x175a2a9861E373D8b4e35fdcAe6fad352b8527f1,44250.451003028167166272
0xc5417a0Fe9a7F41864FDDfD639980f58Fa511cC4,43893.25466228845324856
0x500959DeF640C66127b4C878a662D181C145ea48,43877.077296864955272557
0x6b30E020E9517c519C408f51C2593E12D55B55fA,43579.336667277236566322
0x52B6d3fd6EC83b658B94efc250833A8E2A092146,42852.189741540757953119
0x69171409BDd8E1059e5883dC2FE7B0bCbb4aaeE9,42846.313951164421198029
0x4e65175f05B4140a0747c29cce997CD4BB7190d4,42225.032901253559439219
