address,amount,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8
0x866B3c4994e1416B7C738B9818b31dC246b95eEE,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x88DB7628F124fb389d96421F48D351e06ea30716,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x9917d723c9a2C368BFe6b2bc9535450aD811D057,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xA163e3e565d67C71778060F9dc907Cf92D13CE4A,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xad3297e8dAA93b627ff599E9B8d43BfD170a6326,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xb7EC8904F6105cF6943DEE7B1Aa04B9A33708C76,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xbBBfC46566e5f0302cEF913af8C8F423070ce6A1,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xBD79B801bd8aDE13132eB9C89fC6d1289730E7C6,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xD02357256F2CbE7FEd7F7f53e01198D921d358Dd,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xe1690f5153aD0BBc683964aA81645C49b3cF6567,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0xef30494115ba92Ae20E92f093B1cb01fF66c3c0c,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x0087a081a9B430fd8f688c6ac5dD24421BfB060D,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x02b04FD27FB898e6FAce6Df1888f72906b5ba11C,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x090D4613473dEE047c3f2706764f49E0821D256e,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x184F00F7243208bcbC9A18A5596e011B89B736aD,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x1aC28D13ABC818A75B8CF35bb25D31F7D31F26d3,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x1F374f5BaCa9d3b24a32F779A5Cdd8dC0CFF3890,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x22f6EDb55790B0Fe841C5BA9aa30792ebcB55863,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x2D407dDb06311396fE14D4b49da5F0471447d45C,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x2dB3c0F42022FDC8dfE70036Fee85e48a24B88af,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x3203732069469d91d394E3BAf11488F649F3Faa3,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x32b7d2F7F4ECfDF3e9d9bE72f6a95B57172BF222,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x34aA3F359A9D614239015126635CE7732c18fDF3,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x3546D1E2D60aBEAacf4ACa1b67CCe8391dAa7544,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x385BAe68690c1b86e2f1Ad75253d080C14fA6e16,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x394495a3800D1504b5686D398836BaEFEBd0C5B7,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x3cc4f6E10c6C1c1d9dAfCD17B71bEC4031a4783B,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x3E09974D6DDCe240b3455B20288D1d40897a5f6b,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x4085e9Fb679dD2f60C2E64afe9533107Fa1c18F2,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x42dA91be491e4101F348B9a746183dAD9a6F92A2,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x43a7488a0dffa2D1205E37FA82dDBF1A9193c74e,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
0x46fdbd315ea7bE3663218847185407510259E25D,350,87.5,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125,32.8125
